"s","type","a","b1","b2"
"3","p",-0.357056105859829,-15.2937703818443,-14.7461013996649
"3","a",0.36526429220138,-20.0304261576672,-48.8876306143317
"4","p",0.556527785198385,-0.0825845186452094,-12.3723118608017
"4","a",-0.498286505352056,12.8249997593545,-7.00083608894714
"6","p",0.058668458401746,-15.8359849603841,0.136178360958198
"6","a",-0.0586684584016756,18.3457072589337,-29.8274746024812
"8","p",1.09189139625704,-21.1393561682739,32.3585263900455
"8","a",-1.09189139625706,20.4205426442341,0.36029912968791
"11","p",-2.02169955589949,-18.2292240944495,-41.3215070377446
"11","a",1.93083665451071,12.1467690925528,-9.98848658204201
"12","p",0.849310395522918,-0.108533468998686,-20.4194279882855
"12","a",-0.859186097796424,-3.11285703139571,10.6597090535269
"13","p",-1.2172324544109,14.9100352185073,22.2235453752685
"13","a",1.2172324544109,-7.7992952269309,-10.7327626522584
"10","p",-4.46753908034192,-29.3180528577927,-35.8148810527933
"10","a",4.35988753623733,-10.7121457796737,-26.2287752436172
"15","p",-3.38943299088679,-40.5437329753019,-38.9540442857404
"15","a",3.31151499109632,56.3456686594329,-16.4300263203523
"16","p",2.78774155105176,-33.6075897841445,-73.7535247252154
"16","a",-2.95367854813824,-10.1528092418155,-28.5791794027651
"19","p",-1.77150062660346,-0.0287957325953796,-21.0090661376706
"19","a",1.79209947109876,11.2983627619626,-5.62329799866936
"18","p",-1.98882877471034,-21.7010925195588,1.81255005107182
"18","a",2.03562474588,52.2895844723892,10.7563268434282
"21","p",0.945158831137649,10.4915807011026,8.09837844691578
"21","a",-0.991264139973569,-14.9422161551452,5.07928035658527
"23","p",-4.05059229253577,-48.7478657059,13.3363400074533
"23","a",4.05059229253568,-14.1276156257937,12.316041192866
"24","p",1.00376800888496,8.1672551645749,30.1646051001983
"24","a",-0.981211424415637,-19.3165784456101,-13.2277578821911
"25","p",-0.367036949865892,-1.04543647150391,-7.24437318380133
"25","a",0.393253874856278,-12.3959832063129,13.5207160464567
"17","p",-2.35360732447637,2.63110382010349,-8.87516943218086
"17","a",2.47430513598801,3.48152718826112,-26.7529924040314
"27","p",2.75657847921594,-12.0347599058209,-3.30728495077904
"27","a",-2.82143914931513,31.4591762184584,10.9244780291885
"26","p",-0.921760222733968,-29.1639462112428,-13.6501765321415
"26","a",0.889975387467229,7.63881117087131,-39.9517922402652
"28","p",2.14693961292442,-3.37100979224364,4.05124214913194
"28","a",-2.17280635524871,-10.3934671049892,-4.26846883318395
"29","p",1.41365264456761,-0.886703369898457,4.69113897584585
"29","a",-1.33423395667062,12.8222538252909,-19.7750366656934
"30","p",-0.633451739977628,-4.12857645668285,-9.78595267697896
"30","a",0.655808860212111,-21.6158604062412,-21.5163527817563
"31","p",-0.6847725074722,-9.66392561211842,-9.85593672233263
"31","a",0.668271965123448,3.43258738223647,-18.5813013059013
"33","p",-1.58457806629541,2.81625224538471,-28.0225353639957
"33","a",1.67778854078343,18.6734927683688,22.5321414092255
"34","p",-2.49294340084707,25.5791958869004,-10.875096129549
"34","a",2.55160089263175,17.1038335644055,14.4430452233208
"36","p",0.984104710915268,-12.4004242323681,-15.5852856167119
"36","a",-0.984104710915197,-3.63681400882593,-5.11235871243069
"37","p",-2.35398760812652,-34.1289146131315,-2.09519605727651
"37","a",2.38135955705821,8.0020603386048,-9.33626259233308
"38","p",-1.12973530381723,-5.77955340180833,3.48787546296102
"38","a",1.18552470153647,-21.6806732358754,7.91556658998161
"41","p",-0.957177081802261,-16.6809416189745,-2.58356576448657
"41","a",0.900872547578579,-34.8647140233392,-13.377956423872
"45","p",-3.45831091020139,-44.3744580422956,-14.8975419466077
"45","a",3.30288120637207,-2.4523779552403,-17.6598355257949
"46","p",-0.226281411593369,-20.1871125046116,-47.565060235939
"46","a",0.215877668531651,14.2324290893518,-24.6793030555932
"47","p",3.55606817225166,20.6855008912859,54.3914612654234
"47","a",-3.68011706198141,17.5766019285837,-7.41086963287424
"49","p",-1.68749441860051,-9.99429060888842,-6.52811230306257
"49","a",1.72673847484702,35.4437698479173,16.0450301503304
"48","p",-0.661376113292667,4.21221718360401,-12.6642758741366
"48","a",0.717835049793356,-4.18305341524827,4.79092103769927
"50","p",-0.181832302453484,14.8627521828998,-27.9683985369596
"50","a",0.167530885406656,18.339395406767,-3.14739464636734
"51","p",-1.01819478752756,-4.3370805607651,-14.0360367548968
"51","a",0.969125159213098,-5.80201506090164,-42.1760108048875
"52","p",-5.28214971187933,-25.9465411346759,-82.5678396441312
"52","a",5.76234514023223,35.4666347403619,-111.36389114821
"53","p",-1.58827317709448,-8.16921838372473,-11.3502895865465
"53","a",1.60674146985134,-12.5578284314103,4.99819800940544
"57","p",0.411927749839205,-29.1670701610508,-2.46636266136876
"57","a",-0.398196824844617,-0.905225914021298,-14.9229886660336
"55","p",-0.0912766669082513,8.46583571145382,-9.38386402410949
"55","a",0.090215310316315,-5.21329919210646,-16.7196352481679
"58","p",0.843868215475201,-2.1666455192459,-4.78374211799046
"58","a",-0.833940354116659,4.12583086411742,-6.59967971605918
"56","p",-2.36473337568521,9.47054093918949,-54.4415819568057
"56","a",2.31159329982702,22.9922647746127,-4.77624004338552
"59","p",-0.447048852274292,7.49716174163818,-7.39742328031679
"59","a",0.474307928632489,-1.06237987961528,0.886991040300698
"60","p",-1.22806147671229,-8.44552596032913,24.2511295564538
"60","a",1.19983017839715,14.1056184919769,-27.564430201022
"42","p",-4.40777196554037,10.4264018467087,16.6544954673984
"42","a",4.61766586866133,24.6724505445146,-51.7185880496056
"44","p",2.15772590246259,11.2341097785817,-24.8765315941079
"44","a",-2.23388093431422,-71.90966659267,29.0699947480792
"62","p",2.59389661424464,-9.52211693095417,-1.65314220707559
"62","a",-2.72199027420749,-1.19264151437006,2.47924404728697
"67","p",-3.0765462030527,42.3962659087609,-29.9187560718254
"67","a",3.11406505918747,-60.176977504184,-68.3969452545188
"68","p",-1.39218094302914,-21.3654232029634,1.74841437614953
"68","a",1.32961101300539,-3.24902395571837,-19.7881806445459
"72","p",2.84487199738522,25.8384703602119,-1.99113135391418
"72","a",-2.84487199738524,59.274641623054,28.6056856122827
"74","p",-2.03993672781624,-31.0684283995333,-16.3366291453615
"74","a",2.03993672781613,22.5642577971512,15.6508523938865
"75","p",-3.37224369730383,2.94533675223847,-23.7478221034654
"75","a",3.45253521390638,22.4584137093759,18.9192043769056
"76","p",-0.504874795703715,66.4197998286946,-82.6363521948837
"76","a",0.583556582046843,39.9259932410016,-3.80940056827723
"77","p",0.224242700505205,-10.1658233862536,-19.9394009916235
"77","a",-0.213932691286642,49.3683861692835,28.381447545448
"78","p",1.81304880002951,32.5563756012587,-31.8734988417679
"78","a",-1.72872094886535,-19.7147941577104,-7.64338695139333
"80","p",0.822753290682043,-3.26846993198076,-11.2830999037048
"80","a",-0.871726700841828,47.2755579313688,-55.66692334145
"79","p",-0.233311279710692,8.54606939672894,-18.2422782055826
"79","a",0.247366176078739,-18.8591336711414,3.08409310224741
"82","p",0.596673873965868,44.7885860667659,-4.86392193822655
"82","a",-0.582634488696119,61.8963187766715,0.392166984497375
"84","p",-3.0473290038317,-87.9107060912961,44.8372108902197
"84","a",2.8371683828778,115.83584392914,29.0654881042752
"83","p",-1.59349109783312,24.6202643165053,-1.09489059635597
"83","a",1.68834175841834,-30.6799875410709,-21.9587569454828
"85","p",-0.551275161480806,-6.11485648073125,6.6055284687737
"85","a",0.532044632591951,17.2888660360832,-12.2795254107586
"87","p",-3.01964507644363,23.5776683587872,9.25144783256878
"87","a",3.01964507644365,-9.90911307736867,-44.0678132212299
"107","p",-2.70212257913254,33.7158807095091,-17.5975195904399
"107","a",2.57496386952633,83.0165200657717,2.54570271557358
"109","p",-0.0368980574308268,10.7700961666808,17.8642524393105
"109","a",0.0368980574308427,-9.10593162862183,2.83749379234245
"110","p",-0.683278196806158,-20.4353483111511,9.40324755021283
"110","a",0.667749146878738,-3.02045450638507,-24.3111407214669
"111","p",0.821644512758857,-15.2959510592208,-4.44598450430012
"111","a",-0.860310136888678,-2.46087405545422,-13.007586867953
"112","p",-1.36829859095235,-0.232329939846079,30.9502593160303
"112","a",1.38402616096337,107.116808664583,-28.7614509993583
"116","p",-3.46628958128764,71.000104815094,-41.7902621812423
"116","a",3.38660476332708,42.5463429408334,7.4226959798948
"115","p",0.54699269775263,25.5236632737479,21.0175149129859
"115","a",-0.515913567198407,13.5338473487507,-19.053504475067
"113","p",-5.13470348027398,52.4156888840274,-11.1844764202497
"113","a",5.51505188622019,19.4643028877623,-14.9182699078574
"114","p",-2.27103297135191,12.3384755186207,-38.010936690332
"114","a",2.19361139278307,2.17372273810081,-11.6054292661395
"118","p",-2.97179694389733,-35.8530041751497,2.35282476010964
"118","a",3.00717547894366,-18.0791182062374,-16.6484970640739
"119","p",4.11011081302951,-7.31152005706375,40.4511808898201
"119","a",-3.96999339894899,66.1069837418736,-32.6339050871844
"120","p",-0.953226147204273,0.454356962222591,20.2025190060363
"120","a",0.953226147204308,-1.46549682973673,-60.8671018906941
"121","p",-3.11947099660282,59.216481176743,10.6166278861738
"121","a",3.34772497196407,10.9401918900429,-16.7405203291171
"122","p",2.14972740178994,27.9779528630611,-23.4386001131726
"122","a",-2.17443691215532,1.19134032619235,-17.2989123166493
"123","p",-2.44137053156221,20.986492976452,14.3270631816411
"123","a",2.2493526245855,13.1033913856595,-50.1973373094715
